kode;nama_tindakan;kelas;biaya_dokter;biaya_rs
3945;FEE II_TABLE 5C_PEDIATRIC SURGERY;VVIP;29540000;10340000
3946;FEE II_TABLE 5C_PLASTIC SURGERY;VVIP;27690000;9690000
3947;FEE II_TABLE 5C_UROLOGICAL SURGERY;VVIP;23890000;8360000
3948;FEE II_TABLE 5C_VASCULAR SURGERY;VVIP;24230000;8480000
3949;FEE II_TABLE 6A_CARDIAC SURGERY;VVIP;30290000;10600000
3950;FEE II_TABLE 6A_DENTISTRY;VVIP;25680000;8990000
3951;FEE II_TABLE 6A_DIGESTIVE SURGERY;VVIP;26260000;9190000
3952;FEE II_TABLE 6A_ENT / OTORHINOLARYNGOLOGY;VVIP;26250000;9190000
3953;FEE II_TABLE 6A_NEUROSURGERY;VVIP;55130000;19300000
3954;FEE II_TABLE 6A_OBSTETRICS AND GYNECOLOGY;VVIP;23890000;8360000
3955;FEE II_TABLE 6A_ONCOLOGY SURGERY;VVIP;34600000;12110000
3956;FEE II_TABLE 6A_OPHTHALMOLOGY;VVIP;25090000;8780000
3957;FEE II_TABLE 6A_ORTHOPEDIC SURGERY;VVIP;29140000;10200000
3958;FEE II_TABLE 6A_PEDIATRIC SURGERY;VVIP;31510000;11030000
3959;FEE II_TABLE 6A_PLASTIC SURGERY;VVIP;29590000;10360000
3960;FEE II_TABLE 6A_UROLOGICAL SURGERY;VVIP;24850000;8700000
3961;FEE II_TABLE 6A_VASCULAR SURGERY;VVIP;27690000;9690000
3962;FEE II_TABLE 6B_CARDIAC SURGERY;VVIP;33910000;11870000
3963;FEE II_TABLE 6B_DENTISTRY;VVIP;28530000;9990000
3964;FEE II_TABLE 6B_DIGESTIVE SURGERY;VVIP;27900000;9770000
3965;FEE II_TABLE 6B_ENT / OTORHINOLARYNGOLOGY;VVIP;29150000;10200000
3966;FEE II_TABLE 6B_NEUROSURGERY;VVIP;57750000;20210000
3967;FEE II_TABLE 6B_OBSTETRICS AND GYNECOLOGY;VVIP;26610000;9310000
3968;FEE II_TABLE 6B_ONCOLOGY SURGERY;VVIP;37260000;13040000
3969;FEE II_TABLE 6B_OPHTHALMOLOGY;VVIP;27390000;9590000
3970;FEE II_TABLE 6B_ORTHOPEDIC SURGERY;VVIP;32630000;11420000
3971;FEE II_TABLE 6B_PEDIATRIC SURGERY;VVIP;33480000;11720000
3972;FEE II_TABLE 6B_PLASTIC SURGERY;VVIP;31510000;11030000
3973;FEE II_TABLE 6B_UROLOGICAL SURGERY;VVIP;26750000;9360000
3974;FEE II_TABLE 6B_VASCULAR SURGERY;VVIP;31150000;10900000
3975;FEE II_TABLE 6C_CARDIAC SURGERY;VVIP;37550000;13140000
3976;FEE II_TABLE 6C_DENTISTRY;VVIP;30800000;10780000
3977;FEE II_TABLE 6C_DIGESTIVE SURGERY;VVIP;29540000;10340000
3978;FEE II_TABLE 6C_ENT / OTORHINOLARYNGOLOGY;VVIP;31350000;10970000
3979;FEE II_TABLE 6C_NEUROSURGERY;VVIP;60380000;21130000
3980;FEE II_TABLE 6C_OBSTETRICS AND GYNECOLOGY;VVIP;30030000;10510000
3981;FEE II_TABLE 6C_ONCOLOGY SURGERY;VVIP;39930000;13980000
3982;FEE II_TABLE 6C_OPHTHALMOLOGY;VVIP;30800000;10780000
3983;FEE II_TABLE 6C_ORTHOPEDIC SURGERY;VVIP;39640000;13870000
3984;FEE II_TABLE 6C_PEDIATRIC SURGERY;VVIP;35460000;12410000
3985;FEE II_TABLE 6C_PLASTIC SURGERY;VVIP;33410000;11690000
3986;FEE II_TABLE 6C_UROLOGICAL SURGERY;VVIP;28660000;10030000
3987;FEE II_TABLE 6C_VASCULAR SURGERY;VVIP;34610000;12110000
3988;FEE II_TABLE 7A_CARDIAC SURGERY;VVIP;42400000;14840000
3989;FEE II_TABLE 7A_DENTISTRY;VVIP;34230000;11980000
3990;FEE II_TABLE 7A_DIGESTIVE SURGERY;VVIP;31190000;10920000
3991;FEE II_TABLE 7A_ENT / OTORHINOLARYNGOLOGY;VVIP;34990000;12250000
3992;FEE II_TABLE 7A_NEUROSURGERY;VVIP;63000000;22050000
3993;FEE II_TABLE 7A_OBSTETRICS AND GYNECOLOGY;VVIP;32080000;11230000
3994;FEE II_TABLE 7A_ONCOLOGY SURGERY;VVIP;42590000;14910000
3995;FEE II_TABLE 7A_OPHTHALMOLOGY;VVIP;34230000;11980000
3996;FEE II_TABLE 7A_ORTHOPEDIC SURGERY;VVIP;48950000;17130000
3997;FEE II_TABLE 7A_PEDIATRIC SURGERY;VVIP;37430000;13100000
3998;FEE II_TABLE 7A_PLASTIC SURGERY;VVIP;38190000;13370000
3999;FEE II_TABLE 7A_UROLOGICAL SURGERY;VVIP;31530000;11040000
4000;FEE II_TABLE 7A_VASCULAR SURGERY;VVIP;39810000;13930000
4001;FEE II_TABLE 7B_CARDIAC SURGERY;VVIP;47240000;16530000
4002;FEE II_TABLE 7B_DENTISTRY;VVIP;39360000;13780000
4003;FEE II_TABLE 7B_DIGESTIVE SURGERY;VVIP;32830000;11490000
4004;FEE II_TABLE 7B_ENT / OTORHINOLARYNGOLOGY;VVIP;37900000;13270000
4005;FEE II_TABLE 7B_NEUROSURGERY;VVIP;68250000;23890000
4006;FEE II_TABLE 7B_OBSTETRICS AND GYNECOLOGY;VVIP;34130000;11950000
4007;FEE II_TABLE 7B_ONCOLOGY SURGERY;VVIP;47900000;16770000
4008;FEE II_TABLE 7B_OPHTHALMOLOGY;VVIP;37650000;13180000
4009;FEE II_TABLE 7B_ORTHOPEDIC SURGERY;VVIP;58280000;20400000
4010;FEE II_TABLE 7B_PEDIATRIC SURGERY;VVIP;39390000;13790000
4011;FEE II_TABLE 7B_PLASTIC SURGERY;VVIP;42960000;15040000
4012;FEE II_TABLE 7B_UROLOGICAL SURGERY;VVIP;36300000;12710000
4013;FEE II_TABLE 7B_VASCULAR SURGERY;VVIP;45000000;15750000
4014;FEE II_TABLE 7C_CARDIAC SURGERY;VVIP;52100000;18240000
4015;FEE II_TABLE 7C_DENTISTRY;VVIP;44490000;15570000
4016;FEE II_TABLE 7C_DIGESTIVE SURGERY;VVIP;36110000;12640000
4017;FEE II_TABLE 7C_ENT / OTORHINOLARYNGOLOGY;VVIP;39060000;13670000
4018;FEE II_TABLE 7C_NEUROSURGERY;VVIP;73500000;25730000
4019;FEE II_TABLE 7C_OBSTETRICS AND GYNECOLOGY;VVIP;36180000;12660000
4020;FEE II_TABLE 7C_ONCOLOGY SURGERY;VVIP;53240000;18630000
4021;FEE II_TABLE 7C_OPHTHALMOLOGY;VVIP;39930000;13980000
4022;FEE II_TABLE 7C_ORTHOPEDIC SURGERY;VVIP;69940000;24480000
4023;FEE II_TABLE 7C_PEDIATRIC SURGERY;VVIP;43330000;15170000
4024;FEE II_TABLE 7C_PLASTIC SURGERY;VVIP;47740000;16710000
4025;FEE II_TABLE 7C_UROLOGICAL SURGERY;VVIP;41080000;14380000
4026;FEE II_TABLE 7C_VASCULAR SURGERY;VVIP;50200000;17570000
4027;FNAB;VVIP;811000;0
4028;FNAB USG GUIDED PROCEDURE;VVIP;1790000;0
4029;FOREIGN BODY REMOVAL;VVIP;1790000;799000
4030;FOREIGN BODY REMOVAL ;VVIP;5695000;0
4031;GASTRIC BALLON (INSERTION);VVIP;17084000;2661000
4032;GASTRIC BALLON (REMOVAL);VVIP;17084000;2661000
4033;GASTRODUODENOSCOPY AND COLONOSCOPY;VVIP;17084000;2584000
4034;GASTROSCOPY;VVIP;11085000;1755000
4035;GASTROSCOPY + BIOPSY;VVIP;13404000;0
4036;GASTROSCOPY AND COLONOSCOPY ;VVIP;18767000;2966000
4037;INJECTION FOR VACCINE PROCEDURE ;VVIP;228000;0
4038;INJECTION INTRAARTICULAR;VVIP;961000;0
4039;INJECTION TENDER POINT / TRIGGER POINT;VVIP;902000;0
4040;INSERTION OF NGT / OGT;VVIP;750000;0
4041;INTRA OSSEUS CATH;VVIP;933000;0
4042;INTRALESIONAL INJECTION / INJEKSI INTRALESI;VVIP;542000;0
4043;KIDNEY BIOPSY;VVIP;8921000;0
4044;KONSULTASI LAKTASI;VVIP;164000;0
4045;LAVAGE LAUNDRY;VVIP;672000;0
4046;LYPECTOMY (LYPOMA) Q >10  REGIO > 3;VVIP;3758000;0
4047;LYPECTOMY (LYPOMA) Q ≤ 10 REGIO ≤ 3;VVIP;2460000;0
4048;MMSE (MINI MENTAL STATE EXAMINATION);VVIP;663000;0
4049;NECROTOMY;VVIP;770000;0
4050;PASANG VENTILATOR;VVIP;476000;0
4051;PATCH TEST;VVIP;3040000;0
4052;PEMASANGAN PIGTAIL DENGAN USG GUIDED;VVIP;4200000;0
4053;PEMASANGAN PIGTAIL TANPA USG GUIDED;VVIP;3300000;0
4054;PH METRIX;VVIP;17084000;0
4055;PH METRIX OHMEGA;VVIP;19933000;0
4056;PHLEBOTOMY PROCEDURE;VVIP;884000;0
4057;POLIPECTOMY;VVIP;13611000;2151000
4058;PRICK TEST;VVIP;3040000;0
4059;PRICK TEST _ 1;VVIP;1998000;0
4060;PUNKSI ABDOMINAL;VVIP;1916000;0
4061;PUNKSI SENDI;VVIP;989000;0
4062;PUSH ENTEROSCOPY;VVIP;11089000;1813000
4063;READING EEG;VVIP;163000;0
4064;RECTOSCOPY;VVIP;3023000;0
4065;REKTOSIGMOIDOSCOPY;VVIP;7614000;1206000
4066;REKTOSIGMOIDOSCOPY + BIOPSY;VVIP;10121000;0
4067;REMOVE / AFF CVC;VVIP;770000;0
4068;REMOVE / AFF WSD / CHEST TUBE;VVIP;1290000;0
4069;RESUCITATION FEE  LESS THAN 1 HOUR(PER HOUR);VVIP;1184000;0
4070;RESUCITATION FEE  MORE THAN 1 HOUR(PER HOUR);VVIP;485000;0
4071;RIGHT TO LEFT SHUNT TEST;VVIP;1146000;0
4072;RUBBER BAND LIGATION;VVIP;1691000;0
4073;SKLEROTHERAPI;VVIP;10588000;1716000
4074;SKRINING USG FETOMATERNAL;VVIP;2906500;0
4075;TINDAKAN / BEDAH MINOR A;VVIP;1530000;0
4076;Tindakan / Bedah Minor B;VVIP;2295000;0
4077;TINDAKAN CHEMOTHERAPY;VVIP;1343000;0
4078;TINDAKAN DC SHOCK;VVIP;606000;0
4079;TOUNGE TIED KLINIK LAKTASI;VVIP;439000;0
4080;TRACHEOSTOMY;VVIP;6808000;0
4081;TRACHEOSTOMY REMOVAL OR REPLACE;VVIP;966000;0
4082;TRANSFORAMINAL BLOCK MULTILEVEL (MULTIPLE);VVIP;7054000;0
4083;TRANSFORAMINAL BLOCK ONE LEVEL;VVIP;5272000;0
4084;VENA SECTIE;VVIP;1171000;0
4085;ANOSCOPY;SUITE;944000;0
4086;ASPIRATION;SUITE;1233000;0
4087;Block Pain;SUITE;3201000;0
4088;BODY ANALYZER (BIA);SUITE;420000;0
4089;BONE MARROW PUNCTURE PROCEDURE  (BMP);SUITE;3033000;0
4090;BRONCHOSCOPY;SUITE;10882000;2581000
4091;BRONCHOSCOPY + BIOPSI;SUITE;14377000;0
4092;CATHERIZATION  OR SHEATH OR DRAIN REMOVAL;SUITE;480000;0
4093;CATHETERIZATION PLACEMENT;SUITE;802000;0
4094;CIRCUMCISION;SUITE;4000000;0
4095;COLONOSCOPY;SUITE;12876000;2073000
4096;COLONOSCOPY + BIOPSY;SUITE;15210000;0
4097;ERCP AND PAPILLOTOMY;SUITE;32989000;5098000
4098;ERCP AND SPHINTEROTOMI;SUITE;20547000;0
4099;ERCP AND SPHINTEROTOMI AND COMPLEX STONE EXTRACTION;SUITE;41957000;0
4100;ERCP AND SPHINTEROTOMI AND SIMPLE STONE EXTRACTION;SUITE;32173000;0
4101;ERCP AND SPHINTEROTOMI AND STENT;SUITE;32173000;0
4102;ERCP DIAGNOSTIC;SUITE;13996000;2164000
4103;ESOPHAGOSCOPY;SUITE;5998000;842000
4104;FACET BLOCK MULTI LEVEL (MULTIPLE);SUITE;7425000;0
4105;FACET BLOCK ONE LEVEL;SUITE;5549000;0
4106;FEE I_TABLE 1A_CARDIAC SURGERY;SUITE;2420000;850000
4107;FEE I_TABLE 1A_DENTISTRY;SUITE;2290000;800000
4108;FEE I_TABLE 1A_ENT / OTORHINOLARYNGOLOGY;SUITE;1980000;690000
4109;FEE I_TABLE 1A_GENERAL SURGERY;SUITE;1810000;630000
4110;FEE I_TABLE 1A_NEUROSURGERY;SUITE;2110000;740000
4111;FEE I_TABLE 1A_OBSTETRICS AND GYNECOLOGY;SUITE;1740000;610000
4112;FEE I_TABLE 1A_OPHTHALMOLOGY;SUITE;1820000;640000
4113;FEE I_TABLE 1A_ORTHOPEDIC SURGERY;SUITE;1860000;650000
4114;FEE I_TABLE 1A_PEDIATRIC SURGERY;SUITE;1890000;660000
4115;FEE I_TABLE 1A_PLASTIC SURGERY;SUITE;2290000;800000
4116;FEE I_TABLE 1A_UROLOGICAL SURGERY;SUITE;1830000;640000
4117;FEE I_TABLE 1B_CARDIAC SURGERY;SUITE;2910000;1020000
4118;FEE I_TABLE 1B_DENTISTRY;SUITE;2740000;960000
4119;FEE I_TABLE 1B_ENT / OTORHINOLARYNGOLOGY;SUITE;2910000;1020000
4120;FEE I_TABLE 1B_GENERAL SURGERY;SUITE;3220000;1130000
4121;FEE I_TABLE 1B_NEUROSURGERY;SUITE;3370000;1180000
4122;FEE I_TABLE 1B_OBSTETRICS AND GYNECOLOGY;SUITE;2180000;760000
4123;FEE I_TABLE 1B_OPHTHALMOLOGY;SUITE;3200000;1120000
4124;FEE I_TABLE 1B_ORTHOPEDIC SURGERY;SUITE;2800000;980000
4125;FEE I_TABLE 1B_PEDIATRIC SURGERY;SUITE;3150000;1100000
4126;FEE I_TABLE 1B_PLASTIC SURGERY;SUITE;3060000;1070000
4127;FEE I_TABLE 1B_UROLOGICAL SURGERY;SUITE;3060000;1070000
4128;FEE I_TABLE 1C_CARDIAC SURGERY;SUITE;3870000;1350000
4129;FEE I_TABLE 1C_DENTISTRY;SUITE;3200000;1120000
4130;FEE I_TABLE 1C_ENT / OTORHINOLARYNGOLOGY;SUITE;4080000;1430000
4131;FEE I_TABLE 1C_GENERAL SURGERY;SUITE;4510000;1580000
4132;FEE I_TABLE 1C_NEUROSURGERY;SUITE;5460000;1910000
4133;FEE I_TABLE 1C_OBSTETRICS AND GYNECOLOGY;SUITE;3280000;1150000
4134;FEE I_TABLE 1C_OPHTHALMOLOGY;SUITE;3200000;1120000
4135;FEE I_TABLE 1C_ORTHOPEDIC SURGERY;SUITE;4670000;1630000
4136;FEE I_TABLE 1C_PEDIATRIC SURGERY;SUITE;4730000;1660000
4137;FEE I_TABLE 1C_PLASTIC SURGERY;SUITE;3820000;1340000
4138;FEE I_TABLE 1C_UROLOGICAL SURGERY;SUITE;3820000;1340000
4139;FEE I_TABLE 2A_CARDIAC SURGERY;SUITE;4850000;1700000
4140;FEE I_TABLE 2A_DENTISTRY;SUITE;3650000;1280000
4141;FEE I_TABLE 2A_ENT / OTORHINOLARYNGOLOGY;SUITE;5250000;1840000
4142;FEE I_TABLE 2A_GENERAL SURGERY;SUITE;5800000;2030000
4143;FEE I_TABLE 2A_NEUROSURGERY;SUITE;7570000;2650000
4144;FEE I_TABLE 2A_OBSTETRICS AND GYNECOLOGY;SUITE;3820000;1340000
4145;FEE I_TABLE 2A_OPHTHALMOLOGY;SUITE;5020000;1760000
4146;FEE I_TABLE 2A_ORTHOPEDIC SURGERY;SUITE;6530000;2290000
4147;FEE I_TABLE 2A_PEDIATRIC SURGERY;SUITE;6310000;2210000
4148;FEE I_TABLE 2A_PLASTIC SURGERY;SUITE;5340000;1870000
4149;FEE I_TABLE 2A_UROLOGICAL SURGERY;SUITE;4590000;1610000
4150;FEE I_TABLE 2B_CARDIAC SURGERY;SUITE;5810000;2030000
4151;FEE I_TABLE 2B_DENTISTRY;SUITE;4110000;1440000
4152;FEE I_TABLE 2B_ENT / OTORHINOLARYNGOLOGY;SUITE;6410000;2240000
4153;FEE I_TABLE 2B_GENERAL SURGERY;SUITE;6440000;2250000
4154;FEE I_TABLE 2B_NEUROSURGERY;SUITE;9660000;3380000
4155;FEE I_TABLE 2B_OBSTETRICS AND GYNECOLOGY;SUITE;4910000;1720000
4156;FEE I_TABLE 2B_OPHTHALMOLOGY;SUITE;6380000;2230000
4157;FEE I_TABLE 2B_ORTHOPEDIC SURGERY;SUITE;8400000;2940000
4158;FEE I_TABLE 2B_PEDIATRIC SURGERY;SUITE;7880000;2760000
4159;FEE I_TABLE 2B_PLASTIC SURGERY;SUITE;6880000;2410000
4160;FEE I_TABLE 2B_UROLOGICAL SURGERY;SUITE;5360000;1880000
4161;FEE I_TABLE 2C_CARDIAC SURGERY;SUITE;6790000;2380000
4162;FEE I_TABLE 2C_DENTISTRY;SUITE;4560000;1600000
4163;FEE I_TABLE 2C_ENT / OTORHINOLARYNGOLOGY;SUITE;8750000;3060000
4164;FEE I_TABLE 2C_GENERAL SURGERY;SUITE;7720000;2700000
4165;FEE I_TABLE 2C_NEUROSURGERY;SUITE;11770000;4120000
4166;FEE I_TABLE 2C_OBSTETRICS AND GYNECOLOGY;SUITE;6550000;2290000
4167;FEE I_TABLE 2C_OPHTHALMOLOGY;SUITE;7760000;2720000
4168;FEE I_TABLE 2C_ORTHOPEDIC SURGERY;SUITE;10260000;3590000
4169;FEE I_TABLE 2C_PEDIATRIC SURGERY;SUITE;9450000;3310000
4170;FEE I_TABLE 2C_PLASTIC SURGERY;SUITE;9170000;3210000
4171;FEE I_TABLE 2C_UROLOGICAL SURGERY;SUITE;6880000;2410000
4172;FEE I_TABLE 3A_CARDIAC SURGERY;SUITE;7750000;2710000
4173;FEE I_TABLE 3A_DENTISTRY;SUITE;6850000;2400000
4174;FEE I_TABLE 3A_ENT / OTORHINOLARYNGOLOGY;SUITE;10490000;3670000
4175;FEE I_TABLE 3A_GENERAL SURGERY;SUITE;9010000;3150000
4176;FEE I_TABLE 3A_NEUROSURGERY;SUITE;13860000;4850000
4177;FEE I_TABLE 3A_OBSTETRICS AND GYNECOLOGY;SUITE;8190000;2870000
4178;FEE I_TABLE 3A_OPHTHALMOLOGY;SUITE;9130000;3200000
4179;FEE I_TABLE 3A_ORTHOPEDIC SURGERY;SUITE;12120000;4240000
4180;FEE I_TABLE 3A_PEDIATRIC SURGERY;SUITE;11020000;3860000
4181;FEE I_TABLE 3A_PLASTIC SURGERY;SUITE;10700000;3750000
4182;FEE I_TABLE 3A_UROLOGICAL SURGERY;SUITE;9180000;3210000
4183;FEE I_TABLE 3B_CARDIAC SURGERY;SUITE;8720000;3050000
4184;FEE I_TABLE 3B_DENTISTRY;SUITE;9130000;3200000
4185;FEE I_TABLE 3B_ENT / OTORHINOLARYNGOLOGY;SUITE;11080000;3880000
4186;FEE I_TABLE 3B_GENERAL SURGERY;SUITE;10950000;3830000
4187;FEE I_TABLE 3B_NEUROSURGERY;SUITE;16800000;5880000
4188;FEE I_TABLE 3B_OBSTETRICS AND GYNECOLOGY;SUITE;9280000;3250000
4189;FEE I_TABLE 3B_OPHTHALMOLOGY;SUITE;10040000;3510000
4190;FEE I_TABLE 3B_ORTHOPEDIC SURGERY;SUITE;13990000;4900000
4191;FEE I_TABLE 3B_PEDIATRIC SURGERY;SUITE;12610000;4410000
4192;FEE I_TABLE 3B_PLASTIC SURGERY;SUITE;12220000;4280000
4193;FEE I_TABLE 3B_UROLOGICAL SURGERY;SUITE;10700000;3750000
4194;FEE I_TABLE 3C_CARDIAC SURGERY;SUITE;9700000;3400000
4195;FEE I_TABLE 3C_DENTISTRY;SUITE;10490000;3670000
4196;FEE I_TABLE 3C_ENT / OTORHINOLARYNGOLOGY;SUITE;11660000;4080000
4197;FEE I_TABLE 3C_GENERAL SURGERY;SUITE;12870000;4500000
4198;FEE I_TABLE 3C_NEUROSURGERY;SUITE;18900000;6620000
4199;FEE I_TABLE 3C_OBSTETRICS AND GYNECOLOGY;SUITE;10920000;3820000
4200;FEE I_TABLE 3C_OPHTHALMOLOGY;SUITE;10950000;3830000
4201;FEE I_TABLE 3C_ORTHOPEDIC SURGERY;SUITE;15850000;5550000
4202;FEE I_TABLE 3C_PEDIATRIC SURGERY;SUITE;14180000;4960000
4203;FEE I_TABLE 3C_PLASTIC SURGERY;SUITE;13750000;4810000
4204;FEE I_TABLE 3C_UROLOGICAL SURGERY;SUITE;12230000;4280000
4205;FEE I_TABLE 4A_CARDIAC SURGERY;SUITE;11640000;4070000
4206;FEE I_TABLE 4A_DENTISTRY;SUITE;11870000;4150000
4207;FEE I_TABLE 4A_ENT / OTORHINOLARYNGOLOGY;SUITE;12250000;4290000
4208;FEE I_TABLE 4A_GENERAL SURGERY;SUITE;14160000;4960000
4209;FEE I_TABLE 4A_NEUROSURGERY;SUITE;21000000;7350000
4210;FEE I_TABLE 4A_OBSTETRICS AND GYNECOLOGY;SUITE;12010000;4200000
4211;FEE I_TABLE 4A_OPHTHALMOLOGY;SUITE;12780000;4470000
4212;FEE I_TABLE 4A_ORTHOPEDIC SURGERY;SUITE;16780000;5870000
4213;FEE I_TABLE 4A_PEDIATRIC SURGERY;SUITE;15760000;5520000
4214;FEE I_TABLE 4A_PLASTIC SURGERY;SUITE;15280000;5350000
4215;FEE I_TABLE 4A_UROLOGICAL SURGERY;SUITE;13750000;4810000
4216;FEE I_TABLE 4B_CARDIAC SURGERY;SUITE;13570000;4750000
4217;FEE I_TABLE 4B_DENTISTRY;SUITE;12320000;4310000
4218;FEE I_TABLE 4B_ENT / OTORHINOLARYNGOLOGY;SUITE;12830000;4490000
4219;FEE I_TABLE 4B_GENERAL SURGERY;SUITE;15440000;5400000
4220;FEE I_TABLE 4B_NEUROSURGERY;SUITE;25210000;8820000
4221;FEE I_TABLE 4B_OBSTETRICS AND GYNECOLOGY;SUITE;13100000;4590000
4222;FEE I_TABLE 4B_OPHTHALMOLOGY;SUITE;13690000;4790000
4223;FEE I_TABLE 4B_ORTHOPEDIC SURGERY;SUITE;18660000;6530000
4224;FEE I_TABLE 4B_PEDIATRIC SURGERY;SUITE;17330000;6070000
4225;FEE I_TABLE 4B_PLASTIC SURGERY;SUITE;16810000;5880000
4226;FEE I_TABLE 4B_UROLOGICAL SURGERY;SUITE;15290000;5350000
4227;FEE I_TABLE 4C_CARDIAC SURGERY;SUITE;15510000;5430000
4228;FEE I_TABLE 4C_DENTISTRY;SUITE;12780000;4470000
4229;FEE I_TABLE 4C_ENT / OTORHINOLARYNGOLOGY;SUITE;13990000;4900000
4230;FEE I_TABLE 4C_GENERAL SURGERY;SUITE;17380000;6080000
4231;FEE I_TABLE 4C_NEUROSURGERY;SUITE;29410000;10290000
4232;FEE I_TABLE 4C_OBSTETRICS AND GYNECOLOGY;SUITE;14200000;4970000
4233;FEE I_TABLE 4C_OPHTHALMOLOGY;SUITE;14600000;5110000
4234;FEE I_TABLE 4C_ORTHOPEDIC SURGERY;SUITE;19580000;6850000
4235;FEE I_TABLE 4C_PEDIATRIC SURGERY;SUITE;18900000;6620000
4236;FEE I_TABLE 4C_PLASTIC SURGERY;SUITE;17560000;6150000
4237;FEE I_TABLE 4C_UROLOGICAL SURGERY;SUITE;16060000;5620000
4238;FEE I_TABLE 5A_CARDIAC SURGERY;SUITE;17450000;6110000
4239;FEE I_TABLE 5A_DENTISTRY;SUITE;14600000;5110000
4240;FEE I_TABLE 5A_ENT / OTORHINOLARYNGOLOGY;SUITE;15740000;5510000
4241;FEE I_TABLE 5A_GENERAL SURGERY;SUITE;18020000;6310000
4242;FEE I_TABLE 5A_NEUROSURGERY;SUITE;33610000;11760000
4243;FEE I_TABLE 5A_OBSTETRICS AND GYNECOLOGY;SUITE;14740000;5160000
4244;FEE I_TABLE 5A_OPHTHALMOLOGY;SUITE;15510000;5430000
4245;FEE I_TABLE 5A_ORTHOPEDIC SURGERY;SUITE;20510000;7180000
4246;FEE I_TABLE 5A_PEDIATRIC SURGERY;SUITE;20490000;7170000
4247;FEE I_TABLE 5A_PLASTIC SURGERY;SUITE;19100000;6690000
4248;FEE I_TABLE 5A_UROLOGICAL SURGERY;SUITE;16820000;5890000
4249;FEE I_TABLE 5B_CARDIAC SURGERY;SUITE;19380000;6780000
4250;FEE I_TABLE 5B_DENTISTRY;SUITE;16430000;5750000
4251;FEE I_TABLE 5B_ENT / OTORHINOLARYNGOLOGY;SUITE;16910000;5920000
4252;FEE I_TABLE 5B_GENERAL SURGERY;SUITE;18670000;6530000
4253;FEE I_TABLE 5B_NEUROSURGERY;SUITE;37800000;13230000
4254;FEE I_TABLE 5B_OBSTETRICS AND GYNECOLOGY;SUITE;15830000;5540000
4255;FEE I_TABLE 5B_OPHTHALMOLOGY;SUITE;16430000;5750000
4256;FEE I_TABLE 5B_ORTHOPEDIC SURGERY;SUITE;21450000;7510000
4257;FEE I_TABLE 5B_PEDIATRIC SURGERY;SUITE;22060000;7720000
4258;FEE I_TABLE 5B_PLASTIC SURGERY;SUITE;20620000;7220000
4259;FEE I_TABLE 5B_UROLOGICAL SURGERY;SUITE;18340000;6420000
4260;FEE I_TABLE 5C_CARDIAC SURGERY;SUITE;21320000;7460000
4261;FEE I_TABLE 5C_DENTISTRY;SUITE;19160000;6710000
4262;FEE I_TABLE 5C_ENT / OTORHINOLARYNGOLOGY;SUITE;18660000;6530000
4263;FEE I_TABLE 5C_GENERAL SURGERY;SUITE;19310000;6760000
4264;FEE I_TABLE 5C_NEUROSURGERY;SUITE;42000000;14700000
4265;FEE I_TABLE 5C_OBSTETRICS AND GYNECOLOGY;SUITE;18020000;6310000
4266;FEE I_TABLE 5C_OPHTHALMOLOGY;SUITE;18250000;6390000
4267;FEE I_TABLE 5C_ORTHOPEDIC SURGERY;SUITE;22370000;7830000
4268;FEE I_TABLE 5C_PEDIATRIC SURGERY;SUITE;23630000;8270000
4269;FEE I_TABLE 5C_PLASTIC SURGERY;SUITE;22150000;7750000
4270;FEE I_TABLE 5C_UROLOGICAL SURGERY;SUITE;19110000;6690000
4271;FEE I_TABLE 6A_CARDIAC SURGERY;SUITE;24230000;8480000
4272;FEE I_TABLE 6A_DENTISTRY;SUITE;20540000;7190000
4273;FEE I_TABLE 6A_ENT / OTORHINOLARYNGOLOGY;SUITE;21000000;7350000
4274;FEE I_TABLE 6A_GENERAL SURGERY;SUITE;19960000;6990000
4275;FEE I_TABLE 6A_NEUROSURGERY;SUITE;44100000;15440000
4276;FEE I_TABLE 6A_OBSTETRICS AND GYNECOLOGY;SUITE;19110000;6690000
4277;FEE I_TABLE 6A_OPHTHALMOLOGY;SUITE;20070000;7020000
4278;FEE I_TABLE 6A_ORTHOPEDIC SURGERY;SUITE;23310000;8160000
4279;FEE I_TABLE 6A_PEDIATRIC SURGERY;SUITE;25210000;8820000
4280;FEE I_TABLE 6A_PLASTIC SURGERY;SUITE;23670000;8280000
4281;FEE I_TABLE 6A_UROLOGICAL SURGERY;SUITE;19880000;6960000
4282;FEE I_TABLE 6B_CARDIAC SURGERY;SUITE;27130000;9500000
4283;FEE I_TABLE 6B_DENTISTRY;SUITE;22820000;7990000
4284;FEE I_TABLE 6B_ENT / OTORHINOLARYNGOLOGY;SUITE;23320000;8160000
4285;FEE I_TABLE 6B_GENERAL SURGERY;SUITE;20590000;7210000
4286;FEE I_TABLE 6B_NEUROSURGERY;SUITE;46200000;16170000
4287;FEE I_TABLE 6B_OBSTETRICS AND GYNECOLOGY;SUITE;21290000;7450000
4288;FEE I_TABLE 6B_OPHTHALMOLOGY;SUITE;21910000;7670000
4289;FEE I_TABLE 6B_ORTHOPEDIC SURGERY;SUITE;26100000;9140000
4290;FEE I_TABLE 6B_PEDIATRIC SURGERY;SUITE;26780000;9370000
4291;FEE I_TABLE 6B_PLASTIC SURGERY;SUITE;25210000;8820000
